event_id,region,year,split,duration_days,era5_precip_7d_total,era5_precip_7d_max,era5_precip_onset_hour,era5_precip_intensity,era5_window_mean_hourly_precip_mm,era5_soil_moist_mean,era5_runoff_total,era5_evap_total,era5_t2m_mean_c,era5_wind_speed_mean,emdat_total_deaths,emdat_total_affected,severity_score
1,west_africa_niger_benue,2000,train,7.02278296511255,565.9295613798544,149.35101691303473,13.560958380868612,3.357700004110743,3.368628341546752,0.2426878542028439,1.4025934209046866,3.543050820063399,35.43085672288585,4.100674778523135,60.079180997916254,3094.417490472489,46.541390570844015
2,west_africa_niger_benue,2000,train,7.765692288504145,174.17381388198436,21.046002940213405,50.59353796529017,0.93452611505427,1.0367488921546688,0.18494308640101725,0.27409089281949245,2.471765031600265,27.672963947268627,4.222450462194903,3.086958015392239,4590.821855768881,15.027090475180913
3,west_africa_niger_benue,2000,train,3.0293653291858638,300.36088615624305,50.5524668209708,33.2327261132729,4.131240561381941,1.7878624175966848,0.25672554278878806,0.4735139706148161,3.379078184459577,30.170457586450603,3.8396554049135743,33.613263741933224,367827.0413717788,71.5036371546701
4,west_africa_niger_benue,2000,train,7.138211764355718,210.68349886637586,59.345521826596446,20.866840293737532,1.2297868722902277,1.2540684456331896,0.2884477787747388,0.33118122699781255,2.961286005966467,25.833948951744972,1.8214425675912618,59.62180232623057,1299.1522890752024,38.991502075464645
5,west_africa_niger_benue,2000,train,8.565968049706347,390.854422738275,48.58203689017732,18.032866268766107,1.9011979560192753,2.3265144210611606,0.2557679669604061,0.9354951286860566,3.0367647873573924,30.052393472505415,4.56821658299901,144.26224224378996,55268.39230114929,74.3666118624413
6,west_africa_niger_benue,2000,train,4.381913743599214,193.15151669909244,43.530499539402506,33.40065340843164,1.8366358475718736,1.1497114089231693,0.21559928284048377,0.2708932123959023,2.8200342942252785,27.985185634929003,3.139110890715032,121.99110441554707,2693.8213408959323,50.11680431592961
7,west_africa_niger_benue,2000,train,5.418686254186745,409.48099452134517,49.70752716777396,23.05964883565137,3.1486798284128983,2.437386872150864,0.22173223148296703,1.4978269900915722,3.264035757359951,31.614623241722025,4.030425306182444,107.54379514851409,8307.942574790126,57.93883189560867
8,west_africa_niger_benue,2000,train,4.368849256337902,215.5679898696555,41.76992435673867,50.24336883130211,2.055918858924258,1.2831427968431874,0.24758441612307755,0.4297298780194778,3.2941649285943644,33.685103041717326,3.065898255460171,12.557290694408971,78453.51733001583,48.6696759851547
9,west_africa_niger_benue,2000,train,5.293931787762627,267.5175763853006,41.58621937098562,37.351962606288545,2.105536325286074,1.5923665261029796,0.2572733531362841,0.3081905504171545,2.7847664116368676,31.26918770450805,5.299046460084721,46.86168557145322,11874.646175315283,49.8671427844554
10,west_africa_niger_benue,2001,train,1.0,331.1691559346386,69.87128404931751,31.41356978861972,13.79871483060994,1.97124497580142,0.21922348341730027,1.3677041043490112,1.9511971307697327,29.93317554200659,3.555183262710648,47.193763062174945,542.7227501978887,34.89013637246671
11,west_africa_niger_benue,2001,train,1.2100135161999255,229.24893860233803,53.661574148818424,40.25144651848842,7.894159016032436,1.3645770154901073,0.2465794846601002,0.3921486029533113,3.321243948319561,30.532084976946003,3.8240547071120203,25.41438366198398,377.75987205026763,26.210515552249554
12,west_africa_niger_benue,2001,train,5.260261548190004,197.4784725704265,30.94725692458515,23.546462209849903,1.5642320472193425,1.1754670986334912,0.2445342545332279,0.3563203334300921,3.826353336132482,31.53556166544916,3.1518929425409166,28.78791172036283,43.916714083229564,25.042164763332032
13,west_africa_niger_benue,2002,train,1.0,262.8554675308661,38.60588335897823,41.187552379441435,10.952311147119422,1.5646158781599173,0.2813980060140763,0.5548869254821868,4.66460309780828,34.58387634522042,2.192510876890113,17.87724940929201,9775.562814635447,38.14560482040991
14,west_africa_niger_benue,2002,train,3.239996647747544,291.22157780706596,51.3349882588403,49.47649094407289,3.745137334343696,1.7334617726611068,0.17902985847504407,0.7433009493023199,2.8112840261400684,33.168899028109166,3.9517224347151156,20.43492552111736,712650.7831418575,70.97000014236913
15,west_africa_niger_benue,2002,train,4.5711065738928225,410.05954223908714,114.83549354333802,77.53425368363855,3.737785147593142,2.440830608565995,0.2966857119252593,1.0482025697633655,3.340747826981282,31.688344542283456,3.618784970879042,2.897636497265928,78538.34901465975,36.85093680989545
16,west_africa_niger_benue,2003,train,3.086882766782578,156.95499294702492,19.428409967486438,42.431980774951434,2.118574583773084,0.9342559103989578,0.3091544759583311,0.289541381526159,2.1703808719276716,31.94940981658839,3.3655202478531487,2.138547393071006,139.29337552152015,0.0
17,west_africa_niger_benue,2003,train,5.332241184663995,177.44229235428097,23.539907537002296,47.03510580662823,1.3865518441587388,1.0562041211564344,0.22875589657096967,0.34691299554692356,3.683020951729825,31.736752196824398,2.6580133253857694,364.7898789630574,256.0538812227527,53.993356881685074
18,west_africa_niger_benue,2003,train,2.2525004512760733,258.32721695492603,53.59565641453614,14.943206860843123,4.778526918248045,1.5376620056840835,0.19863477179027525,0.3178911008310371,2.4290435764126266,28.281517575895293,3.6441606213131617,6.3125075548949745,451.22734095503614,12.679176673329136
19,west_africa_niger_benue,2003,train,4.399416188426831,248.21829687788932,32.436774224717446,23.106429086168475,2.3508639768580357,1.4774898623683888,0.23190404659277392,0.6218708159407481,2.615958542139592,29.667436636386938,3.2003810293871893,3.1969705462626044,10298.694658391554,21.597049036171953
20,west_africa_niger_benue,2003,train,9.407937615669336,450.4130508103932,114.59933891489425,52.40935610564776,1.9948272636476065,2.6810300643475786,0.28411150505284594,1.2595578534795835,2.927464115130547,30.918462103117474,3.0043004015222587,53.14737330169772,144424.0573991756,70.90136433852327
21,west_africa_niger_benue,2003,train,4.96882828101414,250.89043673225189,68.27394099919273,48.87733306286692,2.103869887619369,1.4933954567395946,0.2132120254635264,0.7409767413707626,3.5201302531415686,30.43979461696044,3.5262487230517654,64.59195655999795,103264.16953662042,68.68108291714951
